时间,城市,音乐剧,角色,剧院
2025-07-17 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-07-18 19:30,上海,连璧,谢宛宁,星空间407号·她剧场
2025-07-19 19:30,天津,寻找李二狗,秀儿,天津大剧院歌剧厅
2025-07-22 20:00,上海,海雾,Jo,亚洲大厦·星空间黑匣子
2025-07-24 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-07-26 19:30,上海,蝶变,沈文君,上海话剧艺术中心D6空间
2025-07-27 19:30,上海,蝶变,沈文君,上海话剧艺术中心D6空间
2025-07-31 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-08-01 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-08-02 19:30,上海,连璧,谢宛宁,星空间407号·她剧场
2025-08-03 17:00,上海,海雾,Jo,亚洲大厦·星空间黑匣子
2025-08-06 19:30,上海,她对此感到厌烦,辛西娅,黄浦剧场小剧场
2025-08-09 19:30,上海,蝶变,沈文君,上海话剧艺术中心D6空间
2025-08-10 14:00,上海,蝶变,沈文君,上海话剧艺术中心D6空间
2025-08-14 19:30,上海,最美的一天,许静雅,上剧场
2025-08-15 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-08-16 14:30,上海,最美的一天,许静雅,上剧场
2025-08-17 14:30,上海,最美的一天,许静雅,上剧场
2025-08-23 14:30,上海,连璧,谢宛宁,星空间407号·她剧场
2025-09-05 19:30,广州,她对此感到厌烦,辛西娅,广州蓓蕾剧院
2025-09-06 19:30,广州,她对此感到厌烦,辛西娅,广州蓓蕾剧院
2025-10-11 19:30,苏州,她对此感到厌烦,辛西娅,苏州保利大剧院大剧场
2025-10-12 19:30,苏州,她对此感到厌烦,辛西娅,苏州保利大剧院大剧场
